cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,hhmmb,gndr,gndr2,gndr3,gndr4,gndr5,gndr6,gndr7,gndr8,gndr9,gndr10,gndr11,gndr12,gndr13,gndr14,gndr15,gndr16,gndr17,gndr18,yrbrn,agea,yrbrn2,yrbrn3,yrbrn4,yrbrn5,yrbrn6,yrbrn7,yrbrn8,yrbrn9,yrbrn10,yrbrn11,yrbrn12,yrbrn13,yrbrn14,yrbrn15,yrbrn16,yrbrn17,yrbrn18,rship2,rshipa2,rship3,rshipa3,rship4,rshipa4,rship5,rshipa5,rship6,rshipa6,rship7,rshipa7,rship8,rshipa8,rship9,rshipa9,rship10,rshipa10,rship11,rshipa11,rship12,rshipa12,rship13,rshipa13,rship14,rshipa14,rship15,rshipa15,rship16,rshipa16,rship17,rshipa17,rship18,rshipa18
FI,ESS1-7e01,1,08.12.2016,127754,ESS7e02_1,7,2.1,10001,1,0.845385298,0.218315716,2,2,2,6,6,6,6,6,6,6,6,6,6,6,,,,,,1936,78,1972,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127755,ESS7e02_1,7,2.1,10002,1,0.804224285,0.218315716,1,1,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,1940,74,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127756,ESS7e02_1,7,2.1,10003,1,1.128174287,0.218315716,1,1,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,1990,24,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127757,ESS7e02_1,7,2.1,10005,1,1.126072068,0.218315716,5,1,2,1,1,1,6,6,6,6,6,6,6,6,,,,,,1976,38,1983,2005,2006,2013,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,2,2,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127758,ESS7e02_1,7,2.1,10006,1,0.700638729,0.218315716,3,2,1,1,6,6,6,6,6,6,6,6,6,6,,,,,,1959,55,1959,1995,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127759,ESS7e02_1,7,2.1,10007,1,0.805384005,0.218315716,2,1,2,6,6,6,6,6,6,6,6,6,6,6,,,,,,1950,64,1951,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127760,ESS7e02_1,7,2.1,10009,1,0.845385298,0.218315716,2,2,1,6,6,6,6,6,6,6,6,6,6,6,,,,,,1946,68,1944,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127761,ESS7e02_1,7,2.1,10010,1,0.746935209,0.218315716,2,1,2,6,6,6,6,6,6,6,6,6,6,6,,,,,,1956,58,1955,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127762,ESS7e02_1,7,2.1,10011,1,0.804224285,0.218315716,1,1,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,1949,65,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127763,ESS7e02_1,7,2.1,10012,1,0.923413016,0.218315716,1,2,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,1932,83,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127764,ESS7e02_1,7,2.1,10013,1,0.845385298,0.218315716,2,2,1,6,6,6,6,6,6,6,6,6,6,6,,,,,,1954,60,1952,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127765,ESS7e02_1,7,2.1,10014,1,0.804224285,0.218315716,2,1,2,6,6,6,6,6,6,6,6,6,6,6,,,,,,1951,63,1953,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127766,ESS7e02_1,7,2.1,10015,1,1.126072068,0.218315716,2,1,1,6,6,6,6,6,6,6,6,6,6,6,,,,,,1964,50,1958,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,4,4,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127767,ESS7e02_1,7,2.1,10016,1,0.804133917,0.218315716,3,2,1,1,6,6,6,6,6,6,6,6,6,6,,,,,,1965,50,1958,2004,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127768,ESS7e02_1,7,2.1,10017,1,1.281444199,0.218315716,5,1,1,2,1,2,6,6,6,6,6,6,6,6,,,,,,1993,21,1999,1996,1955,1956,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,4,4,4,4,3,3,3,3,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127769,ESS7e02_1,7,2.1,10018,1,0.960236462,0.218315716,1,2,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,1944,70,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127770,ESS7e02_1,7,2.1,10019,1,0.960236462,0.218315716,2,2,1,6,6,6,6,6,6,6,6,6,6,6,,,,,,1956,58,1953,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127771,ESS7e02_1,7,2.1,10021,1,0.820961742,0.218315716,1,1,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,1944,70,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127772,ESS7e02_1,7,2.1,10022,1,1.281444199,0.218315716,3,1,2,2,6,6,6,6,6,6,6,6,6,6,,,,,,1983,31,1988,2013,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127773,ESS7e02_1,7,2.1,10023,1,0.913380809,0.218315716,1,2,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,1978,36,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127774,ESS7e02_1,7,2.1,10024,1,1.440502854,0.218315716,5,1,2,2,1,2,6,6,6,6,6,6,6,6,,,,,,1981,33,1982,2003,2011,2014,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,2,2,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127775,ESS7e02_1,7,2.1,10025,1,0.913380809,0.218315716,3,2,1,1,6,6,6,6,6,6,6,6,6,6,,,,,,1973,41,1965,1996,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
